阳泉,#genre#
黑龙江卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=162
山西卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=166
海南卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=170
河北卫视,http://103.45.68.47:6800/gy/gy_PGaA/阳泉.php?id=173
贵州,#genre#
CCTV1,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=ca1f525f17a2eddd9c98fbe17997d9df
CCTV2,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=2a8ffd4ee56b3fe048ac854671336398
CCTV4,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=0ad5b86534e39cb9a77b00a76ac9fe12
CCTV7,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=3fa4584c5de70fde94692563299e998c
CCTV9,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=0f8ce350b1250e8e50f4d1b10042b1c5
CCTV10,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=a1a56acc29d03965227b40ff665e2377
CCTV12,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=113eb2f0bd0ca6cf1779140bd1bb525f
CCTV13,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=9bd0e0cf065e0ea9f5adfb9f0bad355e
CCTV14,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=9a8a29dbf54f51d4502ae2cbf87272b4
CCTV16,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=d521eba18ca2907befce170828004cbe
CCTV17,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=f5bc1ced6da68073115cc7ccd2c8925b
凤凰资讯台,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=4ea97af53693ae02392251697dbb52fd
凤凰中文,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=7eeb6c4285b0fcd7c9a265cf4d5bfac5
安徽卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=bbe500382f3ee26a529e6e27f7f2935c
北京卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=ebbfea54712e740cd1fc0d3b36873d52
兵团卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=0f425d173b623ea4c49c96c6f073d109
广东卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=02f45209e8dab92899920d74157fe58b
广西卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=187ab8cbe6c6ba5db7a938edab1e049a
海南卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=c4e94cc2af30425e578d55a030379a65
黑龙江卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=9e3f3b7d57c55d7df8ef1cfb24d56e0e
湖北卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=21a70fb0fad52b17d49c5554f513d2ca
湖南卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=93e7f487ec23f5c99d8137e29933a083
吉林卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=27975dec3d5bb0158291c75402d4a691
江苏卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=ced2b0d62dabbd8651b18f4323c18c24
江西卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=5cd94d06a28dc264b537cbac9b7dec19
辽宁卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=1b84ff537ca4f4b4e57d070563309c56
四川卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=a87d8615af79b7fc8eccaa2014eaf5ca
天津卫视,http://103.45.68.47:6800/gy/gy_PGaA/贵州长id.php?id=bc3dcb148fc5c2d805dd0f61997fc683
cqyx,#genre#
CCTV1综合,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv1
CCTV2财经,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv2
CCTV3综艺,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv3
CCTV4中文国际,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv4
CCTV5体育,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv5
CCTV5+体育赛事,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv5p
CCTV6电影,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv6
CCTV7国防军事,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv7
CCTV8电视剧,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv8
CCTV9纪录,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv9
CCTV10科教,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv10
CCTV11戏曲,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv11
CCTV12社会与法,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv12
CCTV13新闻,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv13
CCTV14少儿,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv14
CCTV15音乐,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv15
CCTV16奥林匹克,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv16
CCTV17农业农村,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cctv17
北京卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=bjws
东方卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=dfws
天津卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=tjws
重庆卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=cqws
黑龙江卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=hljws
吉林卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=jlws
辽宁卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=lnws
内蒙古卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=nmws
宁夏卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=nxws
青海卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=qhws
河北卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=hbws
山西卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=sxiws
安徽卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=ahws
河南卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=hnws
湖北卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=hubws
湖南卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=hunws
江西卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=jxws
江苏卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=jsws
浙江卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=zjws
东南卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=dnws
广东卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=gdws
深圳卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=szws
广西卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=gxws
云南卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=ynws
贵州卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=gzws
四川卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=scws
新疆卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=xjws
兵团卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=btws
西藏卫视,http://103.45.68.47:6800/gy/gy_PGaA/cqyx.php?id=xzws
